date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:44	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jan%202024%2007:56:44%20GMT	https://163.13.128.208/robots.txt		(from )
15:56:44	15205/15205	---M--	200	added ('OK')	text/html	etag:%22642c47c4-3b65%22	https://163.13.128.208/	C:/My%20Websites/aaa/163.13.128.208/index.html	(from )
15:56:44	23897/23897	---M--	200	added ('OK')	text/css	etag:%22642c47c4-5d59%22	https://163.13.128.208/AIMS-LAB.css	C:/My%20Websites/aaa/163.13.128.208/AIMS-LAB.css	(from https://163.13.128.208/)
15:56:44	1370471/1370471	---M--	200	added ('OK')	text/css	etag:%22642c47c4-14e967%22	https://163.13.128.208/nicepage.css	C:/My%20Websites/aaa/163.13.128.208/nicepage.css	(from https://163.13.128.208/)
15:56:45	92629/92629	---M--	200	added ('OK')	application/javascript	etag:%22642c47c4-169d5%22	https://163.13.128.208/jquery-1.9.1.min.js	C:/My%20Websites/aaa/163.13.128.208/jquery-1.9.1.min.js	(from https://163.13.128.208/)
15:56:45	298354/298354	---M--	200	added ('OK')	application/javascript	etag:%22642c47c4-48d72%22	https://163.13.128.208/nicepage.js	C:/My%20Websites/aaa/163.13.128.208/nicepage.js	(from https://163.13.128.208/)
15:56:45	10660/10660	---M--	200	added ('OK')	image/jpeg	etag:%22642c47c4-29a4%22	https://163.13.128.208/images/download.jpg	C:/My%20Websites/aaa/163.13.128.208/images/download.jpg	(from https://163.13.128.208/)
15:56:45	42757/42757	---M--	200	added ('OK')	image/jpeg	etag:%22642c47c4-a705%22	https://163.13.128.208/images/fdf.jpg	C:/My%20Websites/aaa/163.13.128.208/images/fdf.jpg	(from https://163.13.128.208/)
15:56:46	15062/15062	---M--	200	added ('OK')	text/html	etag:%22642c47c4-3ad6%22	https://163.13.128.208/AIMS-LAB.html	C:/My%20Websites/aaa/163.13.128.208/AIMS-LAB.html	(from https://163.13.128.208/)
15:56:47	71856/71856	---M--	200	added ('OK')	image/jpeg	etag:%22642c47c4-118b0%22	https://163.13.128.208/images/users-with-speech-bubbles-vector_53876-82250.jpg	C:/My%20Websites/aaa/163.13.128.208/images/users-with-speech-bubbles-vector_53876-82250.jpg	(from https://163.13.128.208/)
15:56:48	2316/2316	---M--	200	added ('OK')	image/png	etag:%22642c47c4-90c%22	https://163.13.128.208/images/images-1.png	C:/My%20Websites/aaa/163.13.128.208/images/images-1.png	(from https://163.13.128.208/)
15:56:48	32580/32580	---M--	200	added ('OK')	image/jpeg	etag:%2205d83ebb532038f85c23003404852975%22	https://img.freepik.com/free-vector/scrum-board-concept-illustration_114360-1877.jpg	C:/My%20Websites/aaa/img.freepik.com/free-vector/scrum-board-concept-illustration_114360-1877.jpg	(from https://163.13.128.208/)
15:56:48	2532/2532	---M--	200	added ('OK')	image/png	etag:%22642c47c4-9e4%22	https://163.13.128.208/images/download-1.png	C:/My%20Websites/aaa/163.13.128.208/images/download-1.png	(from https://163.13.128.208/)
15:56:48	153/153	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jan%202024%2007:56:48%20GMT	https://163.13.128.208/website-templates	C:/My%20Websites/aaa/163.13.128.208/website-templates	(from https://163.13.128.208/)
